"V1","V2"
6,159
6,159
6,174
6,204
6,204
6,204
6,204
6,204
6,204
6,204
6,204
6,204
6,204
6,204
6,204
6,204
6,219
6,249
6,249
6,337
6,337
6,337
6,337
6,337
6,337
6,337
6,54
6,159
6,174
6,189
6,204
6,337
6,279
6,279
6,294
6,294
6,294
6,309
6,309
6,309
6,309
6,309
6,309
6,323
6,323
6,323
6,323
6,323
6,367
6,382
6,412
6,412
6,412
6,427
6,472
6,472
6,472
6,472
6,472
6,487
6,487
6,487
6,487
6,547
6,562
6,562
6,562
6,562
6,562
6,562
6,577
6,592
6,592
6,592
6,607
6,607
6,607
6,607
6,622
6,622
6,622
6,622
6,637
6,637
6,637
6,652
6,652
6,279
6,412
6,607
6,11
6,11
6,11
6,41
6,41
6,41
6,115
6,145
6,145
6,160
6,160
6,160
6,160
6,190
6,190
6,205
6,205
6,205
6,205
6,250
6,250
6,338
6,338
6,338
6,338
6,338
6,338
6,338
6,160
6,160
6,205
6,250
6,280
6,280
6,280
6,280
6,280
6,280
6,280
6,295
6,295
6,295
6,295
6,310
6,310
6,324
6,428
6,458
6,473
6,488
6,488
6,503
6,503
6,503
6,548
6,548
6,563
6,563
6,563
6,563
6,578
6,593
6,608
6,608
6,608
6,608
6,623
6,638
6,653
6,653
6,653
6,653
6,12
6,12
6,12
6,12
6,27
6,27
6,42
6,42
6,42
6,56
6,56
6,56
6,56
6,56
6,56
6,86
6,101
6,116
6,116
6,116
6,116
6,116
6,131
6,146
6,161
6,161
6,176
6,176
6,176
6,191
6,191
6,191
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,206
6,221
6,236
6,251
6,251
6,339
6,339
6,339
6,339
6,281
6,281
6,281
6,296
6,311
6,311
6,311
6,325
6,325
6,325
6,325
6,325
6,414
6,429
6,474
6,474
6,474
6,489
6,504
6,504
6,504
6,549
6,549
6,549
6,549
6,549
6,549
6,549
6,549
6,549
6,549
6,549
6,564
6,564
6,564
6,579
6,579
6,594
6,609
6,609
6,609
6,609
6,624
6,654
6,654
6,654
6,654
6,281
6,296
6,296
6,489
6,564
6,43
6,57
6,57
6,57
6,57
6,57
6,57
6,57
6,72
6,102
6,147
6,177
6,192
6,192
6,192
6,192
6,207
6,207
6,207
6,207
6,207
6,207
6,207
6,207
6,222
6,222
6,340
6,282
6,282
6,297
6,297
6,297
6,297
6,297
6,297
6,312
6,312
6,312
6,312
6,385
6,385
6,400
6,415
6,430
6,430
6,430
6,430
6,475
6,475
6,475
6,475
6,475
6,475
6,490
6,490
6,490
